date,year,quarter,day_of_week,holiday,holiday_type,holiday_indicator,vmt,percentage_observed
2020-06-25,2020,2,Thursday,Not Applicable,Not Applicable,0,34966180.37,81.674712
2020-06-30,2020,2,Tuesday,Not Applicable,Not Applicable,0,34284762.95,82.235632
2020-07-01,2020,3,Wednesday,Not Applicable,Not Applicable,0,34941337.21,81.814942
2020-07-07,2020,3,Tuesday,Not Applicable,Not Applicable,0,33752385.06,82.175862
2020-07-08,2020,3,Wednesday,Not Applicable,Not Applicable,0,34295685.33,82.433333
2020-07-09,2020,3,Thursday,Not Applicable,Not Applicable,0,34877099.69,82.4
2020-07-14,2020,3,Tuesday,Not Applicable,Not Applicable,0,34114324.79,67.821839
2020-07-15,2020,3,Wednesday,Not Applicable,Not Applicable,0,34483743.56,60.375862
2020-07-16,2020,3,Thursday,Not Applicable,Not Applicable,0,34807896.64,82.947126
2020-07-21,2020,3,Tuesday,Not Applicable,Not Applicable,0,33920785.89,81.468965
2020-07-22,2020,3,Wednesday,Not Applicable,Not Applicable,0,34489271.67,81.120689
2020-07-23,2020,3,Thursday,Not Applicable,Not Applicable,0,35266683.84,83.627586
2020-07-28,2020,3,Tuesday,Not Applicable,Not Applicable,0,34246092.04,83.652873
2020-07-29,2020,3,Wednesday,Not Applicable,Not Applicable,0,34793036.84,84.102298
2020-07-30,2020,3,Thursday,Not Applicable,Not Applicable,0,35565465.87,83.765517
2020-08-04,2020,3,Tuesday,Not Applicable,Not Applicable,0,34560843.91,83.314942
2020-08-05,2020,3,Wednesday,Not Applicable,Not Applicable,0,34973118.69,83.965517
2020-08-06,2020,3,Thursday,Not Applicable,Not Applicable,0,35654940.86,84.105747
2020-08-11,2020,3,Tuesday,Not Applicable,Not Applicable,0,34748336.66,84.034482
2020-08-12,2020,3,Wednesday,Not Applicable,Not Applicable,0,35349310.31,84.412643
2020-08-13,2020,3,Thursday,Not Applicable,Not Applicable,0,36054276.61,83.435632
2020-08-18,2020,3,Tuesday,Not Applicable,Not Applicable,0,34752578.52,82.586206
2020-08-19,2020,3,Wednesday,Not Applicable,Not Applicable,0,35228564.64,82.548275
2020-08-20,2020,3,Thursday,Not Applicable,Not Applicable,0,36019434.9,83.144827
2020-08-25,2020,3,Tuesday,Not Applicable,Not Applicable,0,34455473.99,83.160919
2020-08-26,2020,3,Wednesday,Not Applicable,Not Applicable,0,35090233.92,83.9
2020-08-27,2020,3,Thursday,Not Applicable,Not Applicable,0,35905703.98,83.860919
2020-09-01,2020,3,Tuesday,Not Applicable,Not Applicable,0,34800373.56,83.889655
2020-09-02,2020,3,Wednesday,Not Applicable,Not Applicable,0,35248988.22,84.364367
2020-09-03,2020,3,Thursday,Not Applicable,Not Applicable,0,36638001.23,83.987356
2020-09-09,2020,3,Wednesday,Not Applicable,Not Applicable,0,35047661.67,79.95977
2020-09-10,2020,3,Thursday,Not Applicable,Not Applicable,0,35775532.93,82.445977
2020-09-15,2020,3,Tuesday,Not Applicable,Not Applicable,0,34920829.07,82.947126
2020-09-16,2020,3,Wednesday,Not Applicable,Not Applicable,0,35754992.32,50.408045
2020-09-17,2020,3,Thursday,Not Applicable,Not Applicable,0,37037027.19,9.95977
2020-09-22,2020,3,Tuesday,Not Applicable,Not Applicable,0,35119647.64,83.144827
2020-09-23,2020,3,Wednesday,Not Applicable,Not Applicable,0,35745503.66,83.93908
2020-09-24,2020,3,Thursday,Not Applicable,Not Applicable,0,36290285.5,85.072413
2020-09-29,2020,3,Tuesday,Not Applicable,Not Applicable,0,35560582.28,43.613793
2020-09-30,2020,3,Wednesday,Not Applicable,Not Applicable,0,36249665.94,12.796551
2020-10-01,2020,4,Thursday,Not Applicable,Not Applicable,0,36713573.69,11.829949
2020-10-06,2020,4,Tuesday,Not Applicable,Not Applicable,0,34519879.73,85.276081
2020-10-07,2020,4,Wednesday,Not Applicable,Not Applicable,0,35011936.43,85.527989
2020-10-08,2020,4,Thursday,Not Applicable,Not Applicable,0,35770291.62,85.284987
2020-10-14,2020,4,Wednesday,Not Applicable,Not Applicable,0,34977590.52,86.641221
2020-10-15,2020,4,Thursday,Not Applicable,Not Applicable,0,35908239.18,85.987277
2020-10-20,2020,4,Tuesday,Not Applicable,Not Applicable,0,34725230,84.945292
2020-10-21,2020,4,Wednesday,Not Applicable,Not Applicable,0,35137813.38,86.812977
2020-10-22,2020,4,Thursday,Not Applicable,Not Applicable,0,35762500.53,86.204834
2020-10-27,2020,4,Tuesday,Not Applicable,Not Applicable,0,34656974.01,84.919847
2020-10-28,2020,4,Wednesday,Not Applicable,Not Applicable,0,35302340.26,86.371501
2020-10-29,2020,4,Thursday,Not Applicable,Not Applicable,0,36169477.12,85.997455
2020-11-03,2020,4,Tuesday,Not Applicable,Not Applicable,0,33688409.82,86.755725
2020-11-04,2020,4,Wednesday,Not Applicable,Not Applicable,0,34034055.31,86.689567
2020-11-05,2020,4,Thursday,Not Applicable,Not Applicable,0,35366133.15,85.958015
2020-11-17,2020,4,Tuesday,Not Applicable,Not Applicable,0,34064157.8,84.914758
2020-11-18,2020,4,Wednesday,Not Applicable,Not Applicable,0,34613590.77,84.160305
2020-11-19,2020,4,Thursday,Not Applicable,Not Applicable,0,35234809.43,83.821882
2020-12-01,2020,4,Tuesday,Not Applicable,Not Applicable,0,33628456.98,83.756997
2020-12-02,2020,4,Wednesday,Not Applicable,Not Applicable,0,33671866.85,83.329516
2020-12-03,2020,4,Thursday,Not Applicable,Not Applicable,0,34090394.75,82.170483
2020-12-08,2020,4,Tuesday,Not Applicable,Not Applicable,0,32214266.93,79.97201
2020-12-09,2020,4,Wednesday,Not Applicable,Not Applicable,0,32889038.13,75.181933
2020-12-10,2020,4,Thursday,Not Applicable,Not Applicable,0,33296280.25,74.931297
2020-12-15,2020,4,Tuesday,Not Applicable,Not Applicable,0,33195427.24,80.535623
2020-12-16,2020,4,Wednesday,Not Applicable,Not Applicable,0,33591654.74,81.362595
2020-12-17,2020,4,Thursday,Not Applicable,Not Applicable,0,33911498.73,81.778625
2020-12-30,2020,4,Wednesday,Not Applicable,Not Applicable,0,33327105.64,82.800254
2020-12-31,2020,4,Thursday,Not Applicable,Not Applicable,0,29874022.9,82.559796
